Symbol,Description,Company Name,Market Cap,Sector,Industry,Sub-Industry
ALLY,ALLY FINANCIAL INC COM,ALLY FINANCIAL INCORPORATED,"13,654 M",Financials,Consumer Finance,Consumer Finance
ALNY,ALNYLAM PHARMACEUTICALS INC COM,"ALNYLAM PHARMACEUTICALS, INC.","15,512 M",Health Care,Biotechnology,Biotechnology
ALSN,ALLISON TRANSMISSION HLDGS INC COM,ALLISON TRANSMISSION HOLDINGS INC,"3,963 M",Industrials,Machinery,Construction Machinery & Heavy Trucks
AM,ANTERO MIDSTREAM CORPORATION COM,ANTERO MIDSTREAM CORP,"5,257 M",Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation
AMAT,APPLIED MATERIALS INC COM,"APPLIED MATERIALS, INC.","100,276 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
AMCR,AMCOR PLC COM,<empty>,"20,130 M",Materials,Containers & Packaging,Paper Packaging
AMD,ADVANCED MICRO DEVICES INC COM,"ADVANCED MICRO DEVICES, INC.","174,901 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
AME,AMETEK INC COM,"AMETEK, INC.","28,284 M",Industrials,Electrical Equipment,Electrical Components & Equipment
AMED,AMEDISYS INC COM,"AMEDISYS, INC.","3,733 M",Health Care,Health Care Providers & Services,Health Care Services
AMG,AFFILIATED MANAGERS GROUP COM,"AFFILIATED MANAGERS GROUP, INC.","5,133 M",Financials,Capital Markets,Asset Management & Custody Banks
AMGN,AMGEN INC COM,AMGEN INC.,"133,499 M",Health Care,Biotechnology,Biotechnology
AMH,AMERICAN HOMES 4 RENT COM USD0.01 'A',AMERICAN HOMES 4 RENT,"13,092 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
AMP,AMERIPRISE FINANCIAL INC COM,"AMERIPRISE FINANCIAL, INC.","30,103 M",Financials,Capital Markets,Asset Management & Custody Banks
AMT,AMERICAN TOWER CORP COM USD0.01,AMERICAN TOWER CORPORATION,"122,599 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
AMTD,AMTD IDEA GROUP ADR,AMTD IDEA GROUP,570 M,Financials,Capital Markets,Investment Banking & Brokerage
AMZ,ALERIAN MLP INDEX,<empty>,0,,,
AMZN,AMAZON COM INC COM,"AMAZON.COM, INC.","1,246,105 M",Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
AN,AUTONATION INC COM,"AUTONATION, INC.","6,931 M",Consumer Discretionary,Specialty Retail,Automotive Retail
ANAT,AMERICAN NATIONAL GROUP INC CSH MRG $190.00/SH 5/26/22,AMERICAN NATIONAL GROUP INC,"5,109 M",Financials,Insurance,Multi-line Insurance
ANET,ARISTA NETWORKS INC COM,ARISTA NETWORKS INC,"32,226 M",Information Technology,Communications Equipment,Communications Equipment
ANSS,ANSYS INC COM,"ANSYS, INC.","22,595 M",Information Technology,Software,Application Software
